dataset,arm,seed,lr,checkpoint,reconciliation,level,rmsse
Labour,LORA_HIER,92110,0.0003,512,ols,Country/Region,0.831215697121112
Labour,LORA_HIER,92110,0.0003,512,ols,Country/Gender/Region,0.8692696717493261
Labour,LORA_HIER,92110,0.0003,512,ols,Country/Employment/Gender/Region,1.0672667045486255
Labour,LORA,92111,0.0003,512,unreconciled,Country,0.7003722957732786
Labour,LORA,92111,0.0003,512,unreconciled,Country/Region,0.7708293665210091
Labour,LORA,92111,0.0003,512,unreconciled,Country/Gender/Region,0.8274677964845187
Labour,LORA,92111,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0505914896326496
Labour,LORA,92111,0.0003,512,bottom_up,Country,0.5141505978964503
Labour,LORA,92111,0.0003,512,bottom_up,Country/Region,0.8300621503896175
Labour,LORA,92111,0.0003,512,bottom_up,Country/Gender/Region,0.8767385186085322
Labour,LORA,92111,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0505914896326496
Labour,LORA,92111,0.0003,512,mint_shrink,Country,0.7097352817383864
Labour,LORA,92111,0.0003,512,mint_shrink,Country/Region,0.8627210000148071
Labour,LORA,92111,0.0003,512,mint_shrink,Country/Gender/Region,0.913365586130035
Labour,LORA,92111,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1570391544801395
Labour,LORA,92111,0.0003,512,ols,Country,0.6865859698895046
Labour,LORA,92111,0.0003,512,ols,Country/Region,0.8058003814359594
Labour,LORA,92111,0.0003,512,ols,Country/Gender/Region,0.8482757857934302
Labour,LORA,92111,0.0003,512,ols,Country/Employment/Gender/Region,1.0568350744661985
Labour,LORA_SELF,92111,0.0003,512,unreconciled,Country,0.7000339581188779
Labour,LORA_SELF,92111,0.0003,512,unreconciled,Country/Region,0.7704623154972932
Labour,LORA_SELF,92111,0.0003,512,unreconciled,Country/Gender/Region,0.8272645017742006
Labour,LORA_SELF,92111,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.050581075395527
Labour,LORA_SELF,92111,0.0003,512,bottom_up,Country,0.5105692873253594
Labour,LORA_SELF,92111,0.0003,512,bottom_up,Country/Region,0.8289115494271591
Labour,LORA_SELF,92111,0.0003,512,bottom_up,Country/Gender/Region,0.8758519782985115
Labour,LORA_SELF,92111,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.050581075395527
Labour,LORA_SELF,92111,0.0003,512,mint_shrink,Country,0.704921821315808
Labour,LORA_SELF,92111,0.0003,512,mint_shrink,Country/Region,0.8591741027535001
Labour,LORA_SELF,92111,0.0003,512,mint_shrink,Country/Gender/Region,0.9103304767961223
Labour,LORA_SELF,92111,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.156599815519589
Labour,LORA_SELF,92111,0.0003,512,ols,Country,0.6859908096633366
Labour,LORA_SELF,92111,0.0003,512,ols,Country/Region,0.80584614178545
Labour,LORA_SELF,92111,0.0003,512,ols,Country/Gender/Region,0.8485328223140955
Labour,LORA_SELF,92111,0.0003,512,ols,Country/Employment/Gender/Region,1.0573978084295117
Labour,LORA_POOL,92111,0.0003,256,unreconciled,Country,0.5450091028704781
Labour,LORA_POOL,92111,0.0003,256,unreconciled,Country/Region,0.7210348921006307
Labour,LORA_POOL,92111,0.0003,256,unreconciled,Country/Gender/Region,0.7882489634184195
Labour,LORA_POOL,92111,0.0003,256,unreconciled,Country/Employment/Gender/Region,1.0702935466366894
Labour,LORA_POOL,92111,0.0003,256,bottom_up,Country,0.4298005120219975
Labour,LORA_POOL,92111,0.0003,256,bottom_up,Country/Region,0.8085042459519813
Labour,LORA_POOL,92111,0.0003,256,bottom_up,Country/Gender/Region,0.8649758462959808
Labour,LORA_POOL,92111,0.0003,256,bottom_up,Country/Employment/Gender/Region,1.0702935466366894
Labour,LORA_POOL,92111,0.0003,256,mint_shrink,Country,0.5869389119406584
Labour,LORA_POOL,92111,0.0003,256,mint_shrink,Country/Region,0.8258620395133576
Labour,LORA_POOL,92111,0.0003,256,mint_shrink,Country/Gender/Region,0.8767250828648604
Labour,LORA_POOL,92111,0.0003,256,mint_shrink,Country/Employment/Gender/Region,1.142643429272598
Labour,LORA_POOL,92111,0.0003,256,ols,Country,0.5325851903909247
Labour,LORA_POOL,92111,0.0003,256,ols,Country/Region,0.732990100485314
Labour,LORA_POOL,92111,0.0003,256,ols,Country/Gender/Region,0.7967304235652879
Labour,LORA_POOL,92111,0.0003,256,ols,Country/Employment/Gender/Region,1.050399035966193
Labour,LORA_HIER,92111,0.0003,512,unreconciled,Country,0.6996346598271878
Labour,LORA_HIER,92111,0.0003,512,unreconciled,Country/Region,0.7705553027261604
Labour,LORA_HIER,92111,0.0003,512,unreconciled,Country/Gender/Region,0.8273136655621163
Labour,LORA_HIER,92111,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0507223239643686
Labour,LORA_HIER,92111,0.0003,512,bottom_up,Country,0.5107579984552258
Labour,LORA_HIER,92111,0.0003,512,bottom_up,Country/Region,0.8294937169563579
Labour,LORA_HIER,92111,0.0003,512,bottom_up,Country/Gender/Region,0.8762821795079783
Labour,LORA_HIER,92111,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0507223239643686
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,Country,0.7035802140937918
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,Country/Region,0.8592334860683588
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,Country/Gender/Region,0.9102700823907146
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1553705179617926
Labour,LORA_HIER,92111,0.0003,512,ols,Country,0.6856782085476522
Labour,LORA_HIER,92111,0.0003,512,ols,Country/Region,0.8057359985672988
Labour,LORA_HIER,92111,0.0003,512,ols,Country/Gender/Region,0.8484336928700434
Labour,LORA_HIER,92111,0.0003,512,ols,Country/Employment/Gender/Region,1.057346068633512
Labour,LORA,92112,0.0003,512,unreconciled,Country,0.6213555818592724
Labour,LORA,92112,0.0003,512,unreconciled,Country/Region,0.7386468214771782
Labour,LORA,92112,0.0003,512,unreconciled,Country/Gender/Region,0.797013510821072
Labour,LORA,92112,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0372621293100615
Labour,LORA,92112,0.0003,512,bottom_up,Country,0.46051764214094465
Labour,LORA,92112,0.0003,512,bottom_up,Country/Region,0.8076338989405089
Labour,LORA,92112,0.0003,512,bottom_up,Country/Gender/Region,0.8554456805647578
Labour,LORA,92112,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0372621293100615
Labour,LORA,92112,0.0003,512,mint_shrink,Country,0.6550283605798902
Labour,LORA,92112,0.0003,512,mint_shrink,Country/Region,0.8390330995823538
Labour,LORA,92112,0.0003,512,mint_shrink,Country/Gender/Region,0.8917820287323626
Labour,LORA,92112,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1350708106236784
Labour,LORA,92112,0.0003,512,ols,Country,0.6084358823259817
Labour,LORA,92112,0.0003,512,ols,Country/Region,0.7872774831569902
Labour,LORA,92112,0.0003,512,ols,Country/Gender/Region,0.8301450495525902
Labour,LORA,92112,0.0003,512,ols,Country/Employment/Gender/Region,1.0414675130391458
Labour,LORA_SELF,92112,0.0003,512,unreconciled,Country,0.6211509319063439
Labour,LORA_SELF,92112,0.0003,512,unreconciled,Country/Region,0.7387015657847896
Labour,LORA_SELF,92112,0.0003,512,unreconciled,Country/Gender/Region,0.7970625869254766
Labour,LORA_SELF,92112,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0370640132868656
Labour,LORA_SELF,92112,0.0003,512,bottom_up,Country,0.4605514102053508
Labour,LORA_SELF,92112,0.0003,512,bottom_up,Country/Region,0.8071649159760428
Labour,LORA_SELF,92112,0.0003,512,bottom_up,Country/Gender/Region,0.8548901385543984
Labour,LORA_SELF,92112,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0370640132868656
Labour,LORA_SELF,92112,0.0003,512,mint_shrink,Country,0.6579048794171929
Labour,LORA_SELF,92112,0.0003,512,mint_shrink,Country/Region,0.839796416821246
Labour,LORA_SELF,92112,0.0003,512,mint_shrink,Country/Gender/Region,0.8923615805706194
Labour,LORA_SELF,92112,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1353542662577387
Labour,LORA_SELF,92112,0.0003,512,ols,Country,0.6083260578344957
Labour,LORA_SELF,92112,0.0003,512,ols,Country/Region,0.7870506127130189
Labour,LORA_SELF,92112,0.0003,512,ols,Country/Gender/Region,0.8299458557289983
Labour,LORA_SELF,92112,0.0003,512,ols,Country/Employment/Gender/Region,1.0413016882150037
Labour,LORA_POOL,92112,0.0003,512,unreconciled,Country,0.6217139903147112
Labour,LORA_POOL,92112,0.0003,512,unreconciled,Country/Region,0.7388817719146676
Labour,LORA_POOL,92112,0.0003,512,unreconciled,Country/Gender/Region,0.7971236116910062
Labour,LORA_POOL,92112,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.036816267681923
Labour,LORA_POOL,92112,0.0003,512,bottom_up,Country,0.4619807459212037
Labour,LORA_POOL,92112,0.0003,512,bottom_up,Country/Region,0.8069023212332742
Labour,LORA_POOL,92112,0.0003,512,bottom_up,Country/Gender/Region,0.8546739616241366
Labour,LORA_POOL,92112,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.036816267681923
Labour,LORA_POOL,92112,0.0003,512,mint_shrink,Country,0.6583567076417957
Labour,LORA_POOL,92112,0.0003,512,mint_shrink,Country/Region,0.8402630017047078
Labour,LORA_POOL,92112,0.0003,512,mint_shrink,Country/Gender/Region,0.8926000120354161
Labour,LORA_POOL,92112,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1353177436810045
Labour,LORA_POOL,92112,0.0003,512,ols,Country,0.6089689949508519
Labour,LORA_POOL,92112,0.0003,512,ols,Country/Region,0.7869457052724298
Labour,LORA_POOL,92112,0.0003,512,ols,Country/Gender/Region,0.8298331196184119
Labour,LORA_POOL,92112,0.0003,512,ols,Country/Employment/Gender/Region,1.0410489237920728
Labour,LORA_HIER,92112,0.0003,512,unreconciled,Country,0.6217693452673949
Labour,LORA_HIER,92112,0.0003,512,unreconciled,Country/Region,0.7389702098848447
Labour,LORA_HIER,92112,0.0003,512,unreconciled,Country/Gender/Region,0.7969912888449613
Labour,LORA_HIER,92112,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0367298274974002
Labour,LORA_HIER,92112,0.0003,512,bottom_up,Country,0.4624401285304658
Labour,LORA_HIER,92112,0.0003,512,bottom_up,Country/Region,0.8066585939946187
Labour,LORA_HIER,92112,0.0003,512,bottom_up,Country/Gender/Region,0.8544408641378928
Labour,LORA_HIER,92112,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0367298274974002
Labour,LORA_HIER,92112,0.0003,512,mint_shrink,Country,0.6601163743688901
Labour,LORA_HIER,92112,0.0003,512,mint_shrink,Country/Region,0.8408882651318662
Labour,LORA_HIER,92112,0.0003,512,mint_shrink,Country/Gender/Region,0.8923967277861209
Labour,LORA_HIER,92112,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1339201899128244
Labour,LORA_HIER,92112,0.0003,512,ols,Country,0.6090100768031514
Labour,LORA_HIER,92112,0.0003,512,ols,Country/Region,0.7869536658336405
Labour,LORA_HIER,92112,0.0003,512,ols,Country/Gender/Region,0.8297369875454534
Labour,LORA_HIER,92112,0.0003,512,ols,Country/Employment/Gender/Region,1.0410123591097837
Labour,F0,-1,0.0,0,unreconciled,Country,0.8398670492503203
Labour,F0,-1,0.0,0,unreconciled,Country/Region,1.02330023051449
Labour,F0,-1,0.0,0,unreconciled,Country/Gender/Region,1.0798301096640313
Labour,F0,-1,0.0,0,unreconciled,Country/Employment/Gender/Region,1.335453700481634
Labour,F0,-1,0.0,0,bottom_up,Country,1.5919261549540171
Labour,F0,-1,0.0,0,bottom_up,Country/Region,1.3363655326887678
Labour,F0,-1,0.0,0,bottom_up,Country/Gender/Region,1.3217584697395168
Labour,F0,-1,0.0,0,bottom_up,Country/Employment/Gender/Region,1.335453700481634
Labour,F0,-1,0.0,0,mint_shrink,Country,0.9018239345170942
Labour,F0,-1,0.0,0,mint_shrink,Country/Region,1.0829163939035475
Labour,F0,-1,0.0,0,mint_shrink,Country/Gender/Region,1.1010095468053016
Labour,F0,-1,0.0,0,mint_shrink,Country/Employment/Gender/Region,1.2743027718211266
Labour,F0,-1,0.0,0,ols,Country,0.8865831262978989
Labour,F0,-1,0.0,0,ols,Country/Region,1.093082277916929
Labour,F0,-1,0.0,0,ols,Country/Gender/Region,1.1096334403810184
Labour,F0,-1,0.0,0,ols,Country/Employment/Gender/Region,1.203647261722835
Labour,SeasonalNaive,-1,0.0,0,unreconciled,Country,1.4387709584685393
Labour,SeasonalNaive,-1,0.0,0,unreconciled,Country/Region,1.2516835472896006
Labour,SeasonalNaive,-1,0.0,0,unreconciled,Country/Gender/Region,1.258766608802107
Labour,SeasonalNaive,-1,0.0,0,unreconciled,Country/Employment/Gender/Region,1.3933983930003662
Labour,SeasonalNaive,-1,0.0,0,bottom_up,Country,1.4387709584685389
Labour,SeasonalNaive,-1,0.0,0,bottom_up,Country/Region,1.2516835472896006
Labour,SeasonalNaive,-1,0.0,0,bottom_up,Country/Gender/Region,1.2587666088021066
Labour,SeasonalNaive,-1,0.0,0,bottom_up,Country/Employment/Gender/Region,1.3933983930003662
Labour,SeasonalNaive,-1,0.0,0,mint_shrink,Country,1.4387709584685362
Labour,SeasonalNaive,-1,0.0,0,mint_shrink,Country/Region,1.2516835472896015
Labour,SeasonalNaive,-1,0.0,0,mint_shrink,Country/Gender/Region,1.2587666088021074
Labour,SeasonalNaive,-1,0.0,0,mint_shrink,Country/Employment/Gender/Region,1.393398393000366
Labour,SeasonalNaive,-1,0.0,0,ols,Country,1.4387709584685424
Labour,SeasonalNaive,-1,0.0,0,ols,Country/Region,1.251683547289605
Labour,SeasonalNaive,-1,0.0,0,ols,Country/Gender/Region,1.2587666088021097
Labour,SeasonalNaive,-1,0.0,0,ols,Country/Employment/Gender/Region,1.3933983930003668
Labour,AutoETS,-1,0.0,0,unreconciled,Country,0.7408792353586622
Labour,AutoETS,-1,0.0,0,unreconciled,Country/Region,0.8272042626533637
Labour,AutoETS,-1,0.0,0,unreconciled,Country/Gender/Region,0.8714155919167752
Labour,AutoETS,-1,0.0,0,unreconciled,Country/Employment/Gender/Region,1.1536778708427935
Labour,AutoETS,-1,0.0,0,bottom_up,Country,0.9234366017761397
Labour,AutoETS,-1,0.0,0,bottom_up,Country/Region,0.9199570307725626
Labour,AutoETS,-1,0.0,0,bottom_up,Country/Gender/Region,0.9681258521033757
Labour,AutoETS,-1,0.0,0,bottom_up,Country/Employment/Gender/Region,1.1536778708427935
Labour,AutoETS,-1,0.0,0,mint_shrink,Country,0.7874032965089462
Labour,AutoETS,-1,0.0,0,mint_shrink,Country/Region,0.8847702556116649
Labour,AutoETS,-1,0.0,0,mint_shrink,Country/Gender/Region,0.9486975316654191
Labour,AutoETS,-1,0.0,0,mint_shrink,Country/Employment/Gender/Region,1.1939447168848871
Labour,AutoETS,-1,0.0,0,ols,Country,0.7081497038718311
Labour,AutoETS,-1,0.0,0,ols,Country/Region,1.096723664695291
Labour,AutoETS,-1,0.0,0,ols,Country/Gender/Region,1.107452891009196
Labour,AutoETS,-1,0.0,0,ols,Country/Employment/Gender/Region,1.2396305935621021
